"Rank","Name","arra","cpfile","lottery","printer","random","ride","Total Score"
"1","WC25-333","100","100","90","0","0","100","390"
"1","WC25-460","100","100","90","0","0","100","390"
"3","WC25-329","80","100","100","0","0","100","380"
"4","WC25-332","100","100","100","0","0","60","360"
"5","WC25-130","100","100","100","50","0","0","350"
"6","WC25-335","100","100","100","0","0","40","340"
"7","WC25-391","30","100","100","0","0","100","330"
"8","WC25-328","20","100","100","0","0","100","320"
"8","WC25-420","100","60","100","0","0","60","320"
"8","WC25-513","30","80","100","0","10","100","320"
"11","WC25-285","10","100","100","0","0","100","310"
"12","WC25-163","90","10","100","0","0","100","300"
"12","WC25-236","0","100","100","0","0","100","300"
"12","WC25-286","100","100","60","0","0","40","300"
"15","WC25-015","0","100","90","0","0","100","290"
"15","WC25-294","10","100","100","0","0","80","290"
"15","WC25-330","0","100","90","0","0","100","290"
"15","WC25-372","100","0","90","0","0","100","290"
"19","WC25-141","10","60","90","10","0","100","270"
"19","WC25-326","50","100","60","0","0","60","270"
"21","WC25-241","0","100","100","0","0","60","260"
"21","WC25-311","10","100","90","0","0","60","260"
"21","WC25-500","100","0","100","0","0","60","260"
"21","WC25-503","0","100","90","0","10","60","260"
"25","WC25-142","60","0","90","0","0","100","250"
"25","WC25-240","0","60","90","0","0","100","250"
"25","WC25-267","0","60","90","0","0","100","250"
"25","WC25-389","0","100","90","0","0","60","250"
"25","WC25-496","80","30","60","0","0","80","250"
"25","WC25-504","0","100","90","0","0","60","250"
"25","WC25-514","0","60","90","0","0","100","250"
"32","WC25-336","0","100","100","0","0","40","240"
"33","WC25-226","60","0","100","0","0","60","220"
"33","WC25-243","20","60","100","0","0","40","220"
"33","WC25-399","60","0","100","0","0","60","220"
"33","WC25-518","10","60","90","0","0","60","220"
"37","WC25-234","10","0","100","0","0","100","210"
"37","WC25-475","10","0","100","0","0","100","210"
"39","WC25-369","10","0","90","0","0","100","200"
"39","WC25-506","10","0","90","0","0","100","200"
"41","WC25-024","30","0","100","0","0","60","190"
"41","WC25-215","0","0","90","0","0","100","190"
"41","WC25-382","30","0","100","0","0","60","190"
"44","WC25-213","0","0","90","0","0","80","170"
"44","WC25-325","50","0","60","0","0","60","170"
"46","WC25-026","0","0","100","0","0","60","160"
"46","WC25-186","0","0","60","0","0","100","160"
"46","WC25-380","0","100","0","0","0","60","160"
"46","WC25-427","0","80","0","0","0","80","160"
"46","WC25-509","10","0","90","0","0","60","160"
"51","WC25-138","0","0","90","0","0","60","150"
"51","WC25-165","0","0","90","0","0","60","150"
"51","WC25-327","50","0","100","0","0","0","150"
"51","WC25-334","0","0","90","0","0","60","150"
"55","WC25-370","20","0","60","0","0","60","140"
"55","WC25-426","0","80","0","0","0","60","140"
"57","WC25-337","0","0","30","0","0","100","130"
"57","WC25-511","30","0","0","0","0","100","130"
"59","WC25-016","0","0","60","0","0","60","120"
"59","WC25-245","20","60","0","0","0","40","120"
"61","WC25-238","10","0","0","0","0","100","110"
"61","WC25-431","10","0","0","0","0","100","110"
"63","WC25-048","0","0","0","0","0","100","100"
"63","WC25-214","0","0","0","0","0","100","100"
"63","WC25-231","0","0","0","0","0","100","100"
"63","WC25-293","0","0","0","0","0","100","100"
"63","WC25-430","0","0","0","0","0","100","100"
"68","WC25-137","30","0","0","0","0","60","90"
"68","WC25-180","0","0","90","0","0","0","90"
"68","WC25-188","10","0","0","0","0","80","90"
"68","WC25-224","60","0","30","0","0","0","90"
"68","WC25-448","10","0","0","0","0","80","90"
"68","WC25-497","30","0","0","0","0","60","90"
"68","WC25-510","0","0","90","0","0","0","90"
"68","WC25-512","30","0","0","0","0","60","90"
"76","WC25-135","0","0","0","0","0","80","80"
"76","WC25-151","20","0","20","0","0","40","80"
"76","WC25-449","0","0","0","0","0","80","80"
"76","WC25-452","20","0","0","0","0","60","80"
"80","WC25-047","10","0","0","0","0","60","70"
"80","WC25-131","10","0","0","0","0","60","70"
"80","WC25-132","10","0","0","0","0","60","70"
"80","WC25-190","30","0","0","0","0","40","70"
"80","WC25-310","10","0","0","0","0","60","70"
"80","WC25-313","10","0","0","0","0","60","70"
"80","WC25-331","10","0","0","0","0","60","70"
"80","WC25-383","10","0","0","0","0","60","70"
"80","WC25-386","10","0","0","0","0","60","70"
"80","WC25-390","10","0","0","0","0","60","70"
"80","WC25-451","10","0","0","0","0","60","70"
"91","WC25-161","0","0","0","0","0","60","60"
"91","WC25-168","0","0","0","0","0","60","60"
"91","WC25-314","0","0","0","0","0","60","60"
"91","WC25-322","0","0","0","0","0","60","60"
"91","WC25-371","0","0","60","0","0","0","60"
"91","WC25-425","0","0","0","0","0","60","60"
"91","WC25-454","0","0","60","0","0","0","60"
"98","WC25-247","30","0","20","0","0","0","50"
"98","WC25-319","10","0","0","0","0","40","50"
"100","WC25-134","0","0","0","0","0","40","40"
"100","WC25-225","20","0","0","0","0","20","40"
"100","WC25-381","40","0","0","0","0","0","40"
"100","WC25-429","0","0","0","0","0","40","40"
"100","WC25-432","0","0","0","0","0","40","40"
"105","WC25-227","0","0","30","0","0","0","30"
"105","WC25-312","10","0","20","0","0","0","30"
"105","WC25-444","30","0","0","0","0","0","30"
"105","WC25-502","30","0","0","0","0","0","30"
"109","WC25-173","20","0","0","0","0","0","20"
"109","WC25-309","0","0","20","0","0","0","20"
"109","WC25-318","20","0","0","0","0","0","20"
"109","WC25-321","0","0","20","0","0","0","20"
"109","WC25-355","0","0","0","0","0","20","20"
"109","WC25-356","0","0","0","0","0","20","20"
"109","WC25-453","20","0","0","0","0","0","20"
"116","WC25-136","10","0","0","0","0","0","10"
"116","WC25-139","10","0","0","0","0","0","10"
"116","WC25-174","10","0","0","0","0","0","10"
"116","WC25-289","10","0","0","0","0","0","10"
"116","WC25-338","10","0","0","0","0","0","10"
"116","WC25-424","10","0","0","0","0","0","10"
"116","WC25-428","10","0","0","0","0","0","10"
"116","WC25-434","10","0","0","0","0","0","10"
"116","WC25-450","10","0","0","0","0","0","10"
"125","WC25-013","0","0","0","0","0","0","0"
"125","WC25-014","0","0","0","0","0","0","0"
"125","WC25-031","0","0","0","0","0","0","0"
"125","WC25-080","0","0","0","0","0","0","0"
"125","WC25-118","0","0","0","0","0","0","0"
"125","WC25-133","0","0","0","0","0","0","0"
"125","WC25-150","0","0","0","0","0","0","0"
"125","WC25-162","0","0","0","0","0","0","0"
"125","WC25-164","0","0","0","0","0","0","0"
"125","WC25-166","0","0","0","0","0","0","0"
"125","WC25-167","0","0","0","0","0","0","0"
"125","WC25-169","0","0","0","0","0","0","0"
"125","WC25-170","0","0","0","0","0","0","0"
"125","WC25-171","0","0","0","0","0","0","0"
"125","WC25-172","0","0","0","0","0","0","0"
"125","WC25-175","0","0","0","0","0","0","0"
"125","WC25-176","0","0","0","0","0","0","0"
"125","WC25-177","0","0","0","0","0","0","0"
"125","WC25-187","0","0","0","0","0","0","0"
"125","WC25-189","0","0","0","0","0","0","0"
"125","WC25-233","0","0","0","0","0","0","0"
"125","WC25-246","0","0","0","0","0","0","0"
"125","WC25-288","0","0","0","0","0","0","0"
"125","WC25-290","0","0","0","0","0","0","0"
"125","WC25-316","0","0","0","0","0","0","0"
"125","WC25-317","0","0","0","0","0","0","0"
"125","WC25-368","0","0","0","0","0","0","0"
"125","WC25-384","0","0","0","0","0","0","0"
"125","WC25-385","0","0","0","0","0","0","0"
"125","WC25-387","0","0","0","0","0","0","0"
"125","WC25-388","0","0","0","0","0","0","0"
"125","WC25-406","0","0","0","0","0","0","0"
"125","WC25-411","0","0","0","0","0","0","0"
"125","WC25-412","0","0","0","0","0","0","0"
"125","WC25-413","0","0","0","0","0","0","0"
"125","WC25-433","0","0","0","0","0","0","0"
"125","WC25-495","0","0","0","0","0","0","0"
"125","WC25-505","0","0","0","0","0","0","0"
"125","WC25-575","0","0","0","0","0","0","0"
"125","WC25-579","0","0","0","0","0","0","0"
